音阶体系,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
属性值数字,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
（欧洲西部）Major Scale - 大调,F#,G,G#,A,A#,B,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,C,C#,D,D#,E,F,F#
（土耳其）Maqam Ajam - 波斯调式,Fa#,Sol,Sol#,La,La#,Si,Do,Do#,Re,Re#,Mi,Fa,Fa#,Sol,Sol#,La,La#,Si,Do,Do#,Re,Re#,Mi,Fa,Fa#
（印度）Raag Bhairav - 拜拉夫拉格,Ma#,Pa,Dha,Dha#,Dha##,Ni,Sa,Re,Re#,Re##,Ga,Ma,Ma#,Pa,Dha,Dha#,Dha##,Ni,Sa,Re,Re#,Re##,Ga,Ma,Ma#
（阿拉伯/埃及）Maqam Hijaz - 汉志调式,Fa#,Sol,La,La#,Si,Si#,Do,Re,Re#,Re##,Mi,Fa,Fa#,Sol,La,La#,Si,Si#,Do,Re,Re#,Re##,Mi,Fa,Fa#
（希腊）Dorian Scale - 多利亚调式,Fa#,Sol,Sol#,La,Si,Si#,Do,Do#,Re,Mi,Mi#,Fa,Fa#,Sol,Sol#,La,Si,Si#,Do,Do#,Re,Mi,Mi#,Fa,Fa#
（中国）Gong Diao - 宫调,角##,徵,徵#,羽,羽#,羽##,宫,宫#,商,商#,角,角#,角##,徵,徵#,羽,羽#,羽##,宫,宫#,商,商#,角,角#,角##
（日本）Miyako-bushi - 都节音阶,参#,肆,伍,伍#,伍##,伍###,壱,弐,弐#,弐##,弐###,参,参#,肆,伍,伍#,伍##,伍###,壱,弐,弐#,弐##,弐###,参,参#
（印度尼西亚）Degung - 佩洛格 德贡,Ti#,Na,Na#,Na##,Na###,Mi,Da,Da#,Da##,Da###,La,Ti,Ti#,Na,Na#,Na##,Na###,Mi,Da,Da#,Da##,Da###,La,Ti,Ti#
